id,name,english_name
000,麻婆豆腐,Mapo Tofu
001,家常豆腐,Home style sauteed Tofu
002,煎豆腐,Fried Tofu
003,豆腐花,Bean curd
004,臭豆腐,Stinky tofu
005,酸辣土豆丝,Potato silk
006,土豆泥,Pan fried potato
007,香煎土豆,Pan fried potato
008,土豆焖豆角,Braised beans with potato
009,地三鲜,"Fried Potato, Green Pepper & Eggplant"
010,薯条,French fries
011,鱼香茄子,Yu-Shiang Eggplant
012,蒜泥茄子,Mashed garlic eggplant
013,肉末茄子,Eggplant with mince pork
014,辣白菜,Spicy cabbage
015,醋溜白菜,Sour cabbage
016,上汤娃娃菜,Steamed Baby Cabbage
017,手撕包菜,Shredded cabbage
018,蚝油生菜,Sauteed Lettuce in Oyster Sauce
019,炒青菜,Saute vegetable
020,炒空心菜,tumis kangkung
021,蒜蓉油麦菜,Lettuce with smashed garlic
022,清炒菠菜,Sauteed spainch
023,炒豆芽,Sauteed bean sprouts
024,炒蚕豆,Sauteed broad beans
025,毛豆,Soybean
026,蚝油西兰花,Broccoli with Oyster Sauce
027,香煎藕盒,Deep Fried lotus root
028,莲藕,Lotus root
029,凉拌西红柿,Tomato salad
030,鸡鸭胗,Gizzard
031,凉拌木耳,Black Fungus in Vinegar Sauce
032,口水黄瓜,Cucumber in Sauce
033,花生米,peanut
034,凉拌海带丝,Seaweed salad
035,拔丝山药,Chinese Yam in Hot Toffee
036,清炒山药,Fried Yam
037,干煸豆角,Fried beans
038,蚝油杏鲍菇,Oyster mushroom
039,酿苦瓜,stuffed bitter melon
040,炒苦瓜,sauteed bitter melon
041,虎皮青椒,pepper with tiger skin
042,凉拌腐竹,Yuba salad
043,炒花菜,fried cauliflower
044,松仁玉米,Sauteed Sweet Corn with Pine Nuts
045,香菇青菜,Sauted Chinese Greens with Mushrooms
046,椒盐蘑菇,Spiced mushroom
047,芹菜香干,Celery and tofu
048,西芹百合,Sauteed Lily Bulbs and Celery
049,韭菜炒香干,Leak and tofu
050,西红柿炒鸡蛋,Scrambled egg with tomato
051,韭菜炒鸡蛋,Scrambled Egg with Leek
052,黄瓜炒鸡蛋,Scrambled Egg with cucumber
053,鸡蛋羹,Steamed egg custard
054,猪肝,Pork liver
055,猪耳朵,Pig ears
