"name","calories","protein","fat","price","spicy","type","taste","tags","position"
"白菜肉馅饺子","420","18","14","14元/份","否","主食","咸鲜","中餐;主食;面食;荤菜;素菜;饺子","风味餐厅二楼"
"韭菜肉馅饺子","430","18","15","14元/份","否","主食","浓香","中餐;主食;面食;荤菜;素菜;饺子","风味餐厅二楼"
"牛肉饺子","460","24","16","18元/份","否","主食","酱香","中餐;主食;面食;荤菜;饺子;高蛋白","风味餐厅二楼"
"三鲜虾仁饺子","380","22","10","18元/份","否","主食","鲜美","中餐;主食;面食;荤菜;饺子;高蛋白","风味餐厅二楼"
"香菇肉馅饺子","410","17","13","16元/份","否","主食","菌香","中餐;主食;面食;荤菜;素菜;饺子","风味餐厅二楼"
"玉米肉馅饺子","440","16","14","15元/份","否","主食","清甜","中餐;主食;面食;荤菜;素菜;饺子","风味餐厅二楼"
"柠檬接骨木花","90","0","0","13元","否","饮品","酸甜","中餐;饮品;饮料;果茶;低热量","风味餐厅二楼"
"香橙接骨木花","90","0","0","13元","否","饮品","酸甜","中餐;饮品;饮料;果茶;低热量","风味餐厅二楼"
"台湾手作奶茶","380","3","12","7元","否","饮品","奶香","中餐;饮品;饮料;奶茶;普通能量","风味餐厅二楼"
"青稞谷物奶茶","260","2","8","8元","否","饮品","奶香","中餐;饮品;饮料;奶茶;普通能量","风味餐厅二楼"
"茉香奶绿","180","1","3","8元","否","饮品","清香","中餐;饮品;饮料;奶茶;低热量","风味餐厅二楼"
"椰果奶茶","260","2","8","8元","否","饮品","奶香","中餐;饮品;饮料;奶茶;普通能量","风味餐厅二楼"
"红豆奶茶","260","2","8","8元","否","饮品","奶香","中餐;饮品;饮料;奶茶;普通能量","风味餐厅二楼"
"抹茶红豆奶茶","260","2","8","9元","否","饮品","微苦奶香","中餐;饮品;饮料;奶茶;普通能量","风味餐厅二楼"
"满杯烧仙草","180","1","3","9元","否","饮品","奶香","中餐;饮品;饮料;奶茶;低热量","风味餐厅二楼"
